created_at	text	in_reply_to_screen_name	retweet_count	favorite_count	source	id_str
Wed Jan 20 21:59:00 +0000 2021	Baaahhhaaawwwwaaaaa!    Only 23 more months of this tyrant.  (Not Biden, he will be replaced in 12 months.… 		0	0	Twitter for iPad	1352012779272679425
Wed Jan 20 19:57:38 +0000 2021	@KLynnsoonergrl Really sounds like Covid-19 symptom.	KLynnsoonergrl	0	0	Twitter for Android	1351982235981918213
Wed Jan 20 18:33:31 +0000 2021	The entirety of WW2 brought 418,000 U.S. deaths. We’ve reached that total in #COVID19 deaths in one year while figh… 		0	2	Twitter for iPhone	1351961067404947458
Wed Jan 20 16:56:03 +0000 2021	@JoeBiden Beau is watching from Heaven and ugly crying like all of us because he and we know that you are here to g… 	JoeBiden	0	0	Twitter for iPhone	1351936540423974914
Wed Jan 20 18:10:19 +0000 2021	I love that Elon is donating $5,000,000 for COVID-19 researchI also think it’s appropriate to remind that he’s not… 		0	1	Twitter for iPhone	1351955229911240712
Wed Jan 20 21:56:47 +0000 2021	VACCINE: What are your biggest questions regarding the COVID-19 vaccine? We're answering them today on #KAKENews 		0	0	Twitter for iPhone	1352012221275107331
Wed Jan 20 09:18:53 +0000 2021	US tallies more than 400,000 COVID-19 deaths  via @nypost		0	0	Twitter for iPhone	1351821488110899200
Wed Jan 20 12:25:10 +0000 2021	Astoria CityMD line pre 7am this morning. 		0	2	Twitter for iPhone	1351868370325565440
Wed Jan 20 13:08:25 +0000 2021	Big shout out to Mount Dora Police adding some hospitality go on the waiting for Covid-19 shots 		0	1	Twitter for Android	1351879251960750080
Thu Jan 21 00:46:45 +0000 2021	Trump left a letter? That's the norm he kept? Check it for COVID-19 first!  		0	0	Twitter for Android	1352054996943122434
Thu Jan 21 03:30:14 +0000 2021	@lamaczx A closer look at U.S. deaths due to COVID-19	lamaczx	0	1	Twitter for Android	1352096135813455879
Wed Jan 20 16:17:48 +0000 2021	Fuck covid19 for robbing us the opportunity to see the smiles on the faces of the first and second families as they… 		0	4	Twitter for Android	1351926912361390080
Wed Jan 20 19:12:15 +0000 2021	@JRehling @GOPLeader And you think Biden is going to do something? Where's my check? Where's my Social Security inc… 	JRehling	0	0	Twitter for Android	1351970816632696835
